icd_code,long_title
0602,Reopening of wound of thyroid field
0861,Reconstruction of eyelid with skin flap or graft
0H0,"Skin and Breast, Alteration"
0H2,"Skin and Breast, Change"
0H2PX0Z,"Change Drainage Device in Skin, External Approach"
0H2PXYZ,"Change Other Device in Skin, External Approach"
0H5,"Skin and Breast, Destruction"
0H50XZD,"Destruction of Scalp Skin, Multiple, External Approach"
0H50XZZ,"Destruction of Scalp Skin, External Approach"
0H51XZD,"Destruction of Face Skin, Multiple, External Approach"
0H51XZZ,"Destruction of Face Skin, External Approach"
0H52XZD,"Destruction of Right Ear Skin, Multiple, External Approach"
0H52XZZ,"Destruction of Right Ear Skin, External Approach"
0H53XZD,"Destruction of Left Ear Skin, Multiple, External Approach"
0H53XZZ,"Destruction of Left Ear Skin, External Approach"
0H54XZD,"Destruction of Neck Skin, Multiple, External Approach"
0H54XZZ,"Destruction of Neck Skin, External Approach"
0H55XZD,"Destruction of Chest Skin, Multiple, External Approach"
0H55XZZ,"Destruction of Chest Skin, External Approach"
0H56XZD,"Destruction of Back Skin, Multiple, External Approach"
0H56XZZ,"Destruction of Back Skin, External Approach"
0H57XZD,"Destruction of Abdomen Skin, Multiple, External Approach"
0H57XZZ,"Destruction of Abdomen Skin, External Approach"
0H58XZD,"Destruction of Buttock Skin, Multiple, External Approach"
0H58XZZ,"Destruction of Buttock Skin, External Approach"
0H59XZD,"Destruction of Perineum Skin, Multiple, External Approach"
0H59XZZ,"Destruction of Perineum Skin, External Approach"
0H5AXZD,"Destruction of Inguinal Skin, Multiple, External Approach"
0H5AXZZ,"Destruction of Inguinal Skin, External Approach"
0H5BXZD,"Destruction of Right Upper Arm Skin, Multiple, External Approach"
0H5BXZZ,"Destruction of Right Upper Arm Skin, External Approach"
0H5CXZD,"Destruction of Left Upper Arm Skin, Multiple, External Approach"
0H5CXZZ,"Destruction of Left Upper Arm Skin, External Approach"
0H5DXZD,"Destruction of Right Lower Arm Skin, Multiple, External Approach"
0H5DXZZ,"Destruction of Right Lower Arm Skin, External Approach"
0H5EXZD,"Destruction of Left Lower Arm Skin, Multiple, External Approach"
0H5EXZZ,"Destruction of Left Lower Arm Skin, External Approach"
0H5FXZD,"Destruction of Right Hand Skin, Multiple, External Approach"
0H5FXZZ,"Destruction of Right Hand Skin, External Approach"
0H5GXZD,"Destruction of Left Hand Skin, Multiple, External Approach"
0H5GXZZ,"Destruction of Left Hand Skin, External Approach"
0H5HXZD,"Destruction of Right Upper Leg Skin, Multiple, External Approach"
0H5HXZZ,"Destruction of Right Upper Leg Skin, External Approach"
0H5JXZD,"Destruction of Left Upper Leg Skin, Multiple, External Approach"
0H5JXZZ,"Destruction of Left Upper Leg Skin, External Approach"
0H5KXZD,"Destruction of Right Lower Leg Skin, Multiple, External Approach"
0H5KXZZ,"Destruction of Right Lower Leg Skin, External Approach"
0H5LXZD,"Destruction of Left Lower Leg Skin, Multiple, External Approach"
0H5LXZZ,"Destruction of Left Lower Leg Skin, External Approach"
0H5MXZD,"Destruction of Right Foot Skin, Multiple, External Approach"
0H5MXZZ,"Destruction of Right Foot Skin, External Approach"
0H5NXZD,"Destruction of Left Foot Skin, Multiple, External Approach"
0H5NXZZ,"Destruction of Left Foot Skin, External Approach"
0H8,"Skin and Breast, Division"
0H80XZZ,"Division of Scalp Skin, External Approach"
0H81XZZ,"Division of Face Skin, External Approach"
0H82XZZ,"Division of Right Ear Skin, External Approach"
0H83XZZ,"Division of Left Ear Skin, External Approach"
0H84XZZ,"Division of Neck Skin, External Approach"
0H85XZZ,"Division of Chest Skin, External Approach"
0H86XZZ,"Division of Back Skin, External Approach"
0H87XZZ,"Division of Abdomen Skin, External Approach"
0H88XZZ,"Division of Buttock Skin, External Approach"
0H89XZZ,"Division of Perineum Skin, External Approach"
0H8AXZZ,"Division of Inguinal Skin, External Approach"
0H8BXZZ,"Division of Right Upper Arm Skin, External Approach"
0H8CXZZ,"Division of Left Upper Arm Skin, External Approach"
0H8DXZZ,"Division of Right Lower Arm Skin, External Approach"
0H8EXZZ,"Division of Left Lower Arm Skin, External Approach"
0H8FXZZ,"Division of Right Hand Skin, External Approach"
0H8GXZZ,"Division of Left Hand Skin, External Approach"
0H8HXZZ,"Division of Right Upper Leg Skin, External Approach"
0H8JXZZ,"Division of Left Upper Leg Skin, External Approach"
0H8KXZZ,"Division of Right Lower Leg Skin, External Approach"
0H8LXZZ,"Division of Left Lower Leg Skin, External Approach"
0H8MXZZ,"Division of Right Foot Skin, External Approach"
0H8NXZZ,"Division of Left Foot Skin, External Approach"
0H9,"Skin and Breast, Drainage"
0H90X0Z,"Drainage of Scalp Skin with Drainage Device, External Approach"
0H90XZX,"Drainage of Scalp Skin, External Approach, Diagnostic"
0H90XZZ,"Drainage of Scalp Skin, External Approach"
0H91X0Z,"Drainage of Face Skin with Drainage Device, External Approach"
0H91XZX,"Drainage of Face Skin, External Approach, Diagnostic"
0H91XZZ,"Drainage of Face Skin, External Approach"
0H92X0Z,"Drainage of Right Ear Skin with Drainage Device, External Approach"
0H92XZX,"Drainage of Right Ear Skin, External Approach, Diagnostic"
0H92XZZ,"Drainage of Right Ear Skin, External Approach"
0H93X0Z,"Drainage of Left Ear Skin with Drainage Device, External Approach"
0H93XZX,"Drainage of Left Ear Skin, External Approach, Diagnostic"
0H93XZZ,"Drainage of Left Ear Skin, External Approach"
0H94X0Z,"Drainage of Neck Skin with Drainage Device, External Approach"
0H94XZX,"Drainage of Neck Skin, External Approach, Diagnostic"
0H94XZZ,"Drainage of Neck Skin, External Approach"
0H95X0Z,"Drainage of Chest Skin with Drainage Device, External Approach"
0H95XZX,"Drainage of Chest Skin, External Approach, Diagnostic"
0H95XZZ,"Drainage of Chest Skin, External Approach"
0H96X0Z,"Drainage of Back Skin with Drainage Device, External Approach"
0H96XZX,"Drainage of Back Skin, External Approach, Diagnostic"
0H96XZZ,"Drainage of Back Skin, External Approach"
0H97X0Z,"Drainage of Abdomen Skin with Drainage Device, External Approach"
0H97XZX,"Drainage of Abdomen Skin, External Approach, Diagnostic"
0H97XZZ,"Drainage of Abdomen Skin, External Approach"
0H98X0Z,"Drainage of Buttock Skin with Drainage Device, External Approach"
0H98XZX,"Drainage of Buttock Skin, External Approach, Diagnostic"
0H98XZZ,"Drainage of Buttock Skin, External Approach"
0H99X0Z,"Drainage of Perineum Skin with Drainage Device, External Approach"
0H99XZX,"Drainage of Perineum Skin, External Approach, Diagnostic"
0H99XZZ,"Drainage of Perineum Skin, External Approach"
0H9AX0Z,"Drainage of Inguinal Skin with Drainage Device, External Approach"
0H9AXZX,"Drainage of Inguinal Skin, External Approach, Diagnostic"
0H9AXZZ,"Drainage of Inguinal Skin, External Approach"
0H9BX0Z,"Drainage of Right Upper Arm Skin with Drainage Device, External Approach"
0H9BXZX,"Drainage of Right Upper Arm Skin, External Approach, Diagnostic"
0H9BXZZ,"Drainage of Right Upper Arm Skin, External Approach"
0H9CX0Z,"Drainage of Left Upper Arm Skin with Drainage Device, External Approach"
0H9CXZX,"Drainage of Left Upper Arm Skin, External Approach, Diagnostic"
0H9CXZZ,"Drainage of Left Upper Arm Skin, External Approach"
0H9DX0Z,"Drainage of Right Lower Arm Skin with Drainage Device, External Approach"
0H9DXZX,"Drainage of Right Lower Arm Skin, External Approach, Diagnostic"
0H9DXZZ,"Drainage of Right Lower Arm Skin, External Approach"
0H9EX0Z,"Drainage of Left Lower Arm Skin with Drainage Device, External Approach"
0H9EXZX,"Drainage of Left Lower Arm Skin, External Approach, Diagnostic"
0H9EXZZ,"Drainage of Left Lower Arm Skin, External Approach"
0H9FX0Z,"Drainage of Right Hand Skin with Drainage Device, External Approach"
0H9FXZX,"Drainage of Right Hand Skin, External Approach, Diagnostic"
0H9FXZZ,"Drainage of Right Hand Skin, External Approach"
0H9GX0Z,"Drainage of Left Hand Skin with Drainage Device, External Approach"
0H9GXZX,"Drainage of Left Hand Skin, External Approach, Diagnostic"
0H9GXZZ,"Drainage of Left Hand Skin, External Approach"
0H9HX0Z,"Drainage of Right Upper Leg Skin with Drainage Device, External Approach"
0H9HXZX,"Drainage of Right Upper Leg Skin, External Approach, Diagnostic"
0H9HXZZ,"Drainage of Right Upper Leg Skin, External Approach"
0H9JX0Z,"Drainage of Left Upper Leg Skin with Drainage Device, External Approach"
0H9JXZX,"Drainage of Left Upper Leg Skin, External Approach, Diagnostic"
0H9JXZZ,"Drainage of Left Upper Leg Skin, External Approach"
0H9KX0Z,"Drainage of Right Lower Leg Skin with Drainage Device, External Approach"
0H9KXZX,"Drainage of Right Lower Leg Skin, External Approach, Diagnostic"
0H9KXZZ,"Drainage of Right Lower Leg Skin, External Approach"
0H9LX0Z,"Drainage of Left Lower Leg Skin with Drainage Device, External Approach"
0H9LXZX,"Drainage of Left Lower Leg Skin, External Approach, Diagnostic"
0H9LXZZ,"Drainage of Left Lower Leg Skin, External Approach"
0H9MX0Z,"Drainage of Right Foot Skin with Drainage Device, External Approach"
0H9MXZX,"Drainage of Right Foot Skin, External Approach, Diagnostic"
0H9MXZZ,"Drainage of Right Foot Skin, External Approach"
0H9NX0Z,"Drainage of Left Foot Skin with Drainage Device, External Approach"
0H9NXZX,"Drainage of Left Foot Skin, External Approach, Diagnostic"
0H9NXZZ,"Drainage of Left Foot Skin, External Approach"
0HB,"Skin and Breast, Excision"
0HB0XZX,"Excision of Scalp Skin, External Approach, Diagnostic"
0HB0XZZ,"Excision of Scalp Skin, External Approach"
0HB1XZX,"Excision of Face Skin, External Approach, Diagnostic"
0HB1XZZ,"Excision of Face Skin, External Approach"
0HB2XZX,"Excision of Right Ear Skin, External Approach, Diagnostic"
0HB2XZZ,"Excision of Right Ear Skin, External Approach"
0HB3XZX,"Excision of Left Ear Skin, External Approach, Diagnostic"
0HB3XZZ,"Excision of Left Ear Skin, External Approach"
0HB4XZX,"Excision of Neck Skin, External Approach, Diagnostic"
0HB4XZZ,"Excision of Neck Skin, External Approach"
0HB5XZX,"Excision of Chest Skin, External Approach, Diagnostic"
0HB5XZZ,"Excision of Chest Skin, External Approach"
0HB6XZX,"Excision of Back Skin, External Approach, Diagnostic"
0HB6XZZ,"Excision of Back Skin, External Approach"
0HB7XZX,"Excision of Abdomen Skin, External Approach, Diagnostic"
0HB7XZZ,"Excision of Abdomen Skin, External Approach"
0HB8XZX,"Excision of Buttock Skin, External Approach, Diagnostic"
0HB8XZZ,"Excision of Buttock Skin, External Approach"
0HB9XZX,"Excision of Perineum Skin, External Approach, Diagnostic"
0HB9XZZ,"Excision of Perineum Skin, External Approach"
0HBAXZX,"Excision of Inguinal Skin, External Approach, Diagnostic"
0HBAXZZ,"Excision of Inguinal Skin, External Approach"
0HBBXZX,"Excision of Right Upper Arm Skin, External Approach, Diagnostic"
0HBBXZZ,"Excision of Right Upper Arm Skin, External Approach"
0HBCXZX,"Excision of Left Upper Arm Skin, External Approach, Diagnostic"
0HBCXZZ,"Excision of Left Upper Arm Skin, External Approach"
0HBDXZX,"Excision of Right Lower Arm Skin, External Approach, Diagnostic"
0HBDXZZ,"Excision of Right Lower Arm Skin, External Approach"
0HBEXZX,"Excision of Left Lower Arm Skin, External Approach, Diagnostic"
0HBEXZZ,"Excision of Left Lower Arm Skin, External Approach"
0HBFXZX,"Excision of Right Hand Skin, External Approach, Diagnostic"
0HBFXZZ,"Excision of Right Hand Skin, External Approach"
0HBGXZX,"Excision of Left Hand Skin, External Approach, Diagnostic"
0HBGXZZ,"Excision of Left Hand Skin, External Approach"
0HBHXZX,"Excision of Right Upper Leg Skin, External Approach, Diagnostic"
0HBHXZZ,"Excision of Right Upper Leg Skin, External Approach"
0HBJXZX,"Excision of Left Upper Leg Skin, External Approach, Diagnostic"
0HBJXZZ,"Excision of Left Upper Leg Skin, External Approach"
0HBKXZX,"Excision of Right Lower Leg Skin, External Approach, Diagnostic"
0HBKXZZ,"Excision of Right Lower Leg Skin, External Approach"
0HBLXZX,"Excision of Left Lower Leg Skin, External Approach, Diagnostic"
0HBLXZZ,"Excision of Left Lower Leg Skin, External Approach"
0HBMXZX,"Excision of Right Foot Skin, External Approach, Diagnostic"
0HBMXZZ,"Excision of Right Foot Skin, External Approach"
0HBNXZX,"Excision of Left Foot Skin, External Approach, Diagnostic"
0HBNXZZ,"Excision of Left Foot Skin, External Approach"
0HC,"Skin and Breast, Extirpation"
0HC0XZZ,"Extirpation of Matter from Scalp Skin, External Approach"
0HC1XZZ,"Extirpation of Matter from Face Skin, External Approach"
0HC2XZZ,"Extirpation of Matter from Right Ear Skin, External Approach"
0HC3XZZ,"Extirpation of Matter from Left Ear Skin, External Approach"
0HC4XZZ,"Extirpation of Matter from Neck Skin, External Approach"
0HC5XZZ,"Extirpation of Matter from Chest Skin, External Approach"
0HC6XZZ,"Extirpation of Matter from Back Skin, External Approach"
0HC7XZZ,"Extirpation of Matter from Abdomen Skin, External Approach"
0HC8XZZ,"Extirpation of Matter from Buttock Skin, External Approach"
0HC9XZZ,"Extirpation of Matter from Perineum Skin, External Approach"
0HCAXZZ,"Extirpation of Matter from Inguinal Skin, External Approach"
0HCBXZZ,"Extirpation of Matter from Right Upper Arm Skin, External Approach"
0HCCXZZ,"Extirpation of Matter from Left Upper Arm Skin, External Approach"
0HCDXZZ,"Extirpation of Matter from Right Lower Arm Skin, External Approach"
0HCEXZZ,"Extirpation of Matter from Left Lower Arm Skin, External Approach"
0HCFXZZ,"Extirpation of Matter from Right Hand Skin, External Approach"
0HCGXZZ,"Extirpation of Matter from Left Hand Skin, External Approach"
0HCHXZZ,"Extirpation of Matter from Right Upper Leg Skin, External Approach"
0HCJXZZ,"Extirpation of Matter from Left Upper Leg Skin, External Approach"
0HCKXZZ,"Extirpation of Matter from Right Lower Leg Skin, External Approach"
0HCLXZZ,"Extirpation of Matter from Left Lower Leg Skin, External Approach"
0HCMXZZ,"Extirpation of Matter from Right Foot Skin, External Approach"
0HCNXZZ,"Extirpation of Matter from Left Foot Skin, External Approach"
0HD,"Skin and Breast, Extraction"
0HD0XZZ,"Extraction of Scalp Skin, External Approach"
0HD1XZZ,"Extraction of Face Skin, External Approach"
0HD2XZZ,"Extraction of Right Ear Skin, External Approach"
0HD3XZZ,"Extraction of Left Ear Skin, External Approach"
0HD4XZZ,"Extraction of Neck Skin, External Approach"
0HD5XZZ,"Extraction of Chest Skin, External Approach"
0HD6XZZ,"Extraction of Back Skin, External Approach"
0HD7XZZ,"Extraction of Abdomen Skin, External Approach"
0HD8XZZ,"Extraction of Buttock Skin, External Approach"
0HD9XZZ,"Extraction of Perineum Skin, External Approach"
0HDAXZZ,"Extraction of Inguinal Skin, External Approach"
0HDBXZZ,"Extraction of Right Upper Arm Skin, External Approach"
0HDCXZZ,"Extraction of Left Upper Arm Skin, External Approach"
0HDDXZZ,"Extraction of Right Lower Arm Skin, External Approach"
0HDEXZZ,"Extraction of Left Lower Arm Skin, External Approach"
0HDFXZZ,"Extraction of Right Hand Skin, External Approach"
0HDGXZZ,"Extraction of Left Hand Skin, External Approach"
0HDHXZZ,"Extraction of Right Upper Leg Skin, External Approach"
0HDJXZZ,"Extraction of Left Upper Leg Skin, External Approach"
0HDKXZZ,"Extraction of Right Lower Leg Skin, External Approach"
0HDLXZZ,"Extraction of Left Lower Leg Skin, External Approach"
0HDMXZZ,"Extraction of Right Foot Skin, External Approach"
0HDNXZZ,"Extraction of Left Foot Skin, External Approach"
0HH,"Skin and Breast, Insertion"
0HHPXYZ,"Insertion of Other Device into Skin, External Approach"
0HJ,"Skin and Breast, Inspection"
0HJPXZZ,"Inspection of Skin, External Approach"
0HM,"Skin and Breast, Reattachment"
0HM0XZZ,"Reattachment of Scalp Skin, External Approach"
0HM1XZZ,"Reattachment of Face Skin, External Approach"
0HM2XZZ,"Reattachment of Right Ear Skin, External Approach"
0HM3XZZ,"Reattachment of Left Ear Skin, External Approach"
0HM4XZZ,"Reattachment of Neck Skin, External Approach"
0HM5XZZ,"Reattachment of Chest Skin, External Approach"
0HM6XZZ,"Reattachment of Back Skin, External Approach"
0HM7XZZ,"Reattachment of Abdomen Skin, External Approach"
0HM8XZZ,"Reattachment of Buttock Skin, External Approach"
0HM9XZZ,"Reattachment of Perineum Skin, External Approach"
0HMAXZZ,"Reattachment of Inguinal Skin, External Approach"
0HMBXZZ,"Reattachment of Right Upper Arm Skin, External Approach"
0HMCXZZ,"Reattachment of Left Upper Arm Skin, External Approach"
0HMDXZZ,"Reattachment of Right Lower Arm Skin, External Approach"
0HMEXZZ,"Reattachment of Left Lower Arm Skin, External Approach"
0HMFXZZ,"Reattachment of Right Hand Skin, External Approach"
0HMGXZZ,"Reattachment of Left Hand Skin, External Approach"
0HMHXZZ,"Reattachment of Right Upper Leg Skin, External Approach"
0HMJXZZ,"Reattachment of Left Upper Leg Skin, External Approach"
0HMKXZZ,"Reattachment of Right Lower Leg Skin, External Approach"
0HMLXZZ,"Reattachment of Left Lower Leg Skin, External Approach"
0HMMXZZ,"Reattachment of Right Foot Skin, External Approach"
0HMNXZZ,"Reattachment of Left Foot Skin, External Approach"
0HN,"Skin and Breast, Release"
0HN0XZZ,"Release Scalp Skin, External Approach"
0HN1XZZ,"Release Face Skin, External Approach"
0HN2XZZ,"Release Right Ear Skin, External Approach"
0HN3XZZ,"Release Left Ear Skin, External Approach"
0HN4XZZ,"Release Neck Skin, External Approach"
0HN5XZZ,"Release Chest Skin, External Approach"
0HN6XZZ,"Release Back Skin, External Approach"
0HN7XZZ,"Release Abdomen Skin, External Approach"
0HN8XZZ,"Release Buttock Skin, External Approach"
0HN9XZZ,"Release Perineum Skin, External Approach"
0HNAXZZ,"Release Inguinal Skin, External Approach"
0HNBXZZ,"Release Right Upper Arm Skin, External Approach"
0HNCXZZ,"Release Left Upper Arm Skin, External Approach"
0HNDXZZ,"Release Right Lower Arm Skin, External Approach"
0HNEXZZ,"Release Left Lower Arm Skin, External Approach"
0HNFXZZ,"Release Right Hand Skin, External Approach"
0HNGXZZ,"Release Left Hand Skin, External Approach"
0HNHXZZ,"Release Right Upper Leg Skin, External Approach"
0HNJXZZ,"Release Left Upper Leg Skin, External Approach"
0HNKXZZ,"Release Right Lower Leg Skin, External Approach"
0HNLXZZ,"Release Left Lower Leg Skin, External Approach"
0HNMXZZ,"Release Right Foot Skin, External Approach"
0HNNXZZ,"Release Left Foot Skin, External Approach"
0HP,"Skin and Breast, Removal"
0HPPX0Z,"Removal of Drainage Device from Skin, External Approach"
0HPPX7Z,"Removal of Autologous Tissue Substitute from Skin, External Approach"
0HPPXJZ,"Removal of Synthetic Substitute from Skin, External Approach"
0HPPXKZ,"Removal of Nonautologous Tissue Substitute from Skin, External Approach"
0HPPXYZ,"Removal of Other Device from Skin, External Approach"
0HQ,"Skin and Breast, Repair"
0HQ0XZZ,"Repair Scalp Skin, External Approach"
0HQ1XZZ,"Repair Face Skin, External Approach"
0HQ2XZZ,"Repair Right Ear Skin, External Approach"
0HQ3XZZ,"Repair Left Ear Skin, External Approach"
0HQ4XZZ,"Repair Neck Skin, External Approach"
0HQ5XZZ,"Repair Chest Skin, External Approach"
0HQ6XZZ,"Repair Back Skin, External Approach"
0HQ7XZZ,"Repair Abdomen Skin, External Approach"
0HQ8XZZ,"Repair Buttock Skin, External Approach"
0HQ9XZZ,"Repair Perineum Skin, External Approach"
0HQAXZZ,"Repair Inguinal Skin, External Approach"
0HQBXZZ,"Repair Right Upper Arm Skin, External Approach"
0HQCXZZ,"Repair Left Upper Arm Skin, External Approach"
0HQDXZZ,"Repair Right Lower Arm Skin, External Approach"
0HQEXZZ,"Repair Left Lower Arm Skin, External Approach"
0HQFXZZ,"Repair Right Hand Skin, External Approach"
0HQGXZZ,"Repair Left Hand Skin, External Approach"
0HQHXZZ,"Repair Right Upper Leg Skin, External Approach"
0HQJXZZ,"Repair Left Upper Leg Skin, External Approach"
0HQKXZZ,"Repair Right Lower Leg Skin, External Approach"
0HQLXZZ,"Repair Left Lower Leg Skin, External Approach"
0HQMXZZ,"Repair Right Foot Skin, External Approach"
0HQNXZZ,"Repair Left Foot Skin, External Approach"
0HR,"Skin and Breast, Replacement"
0HR0X72,"Replacement of Scalp Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR0X73,"Replacement of Scalp Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR0X74,"Replacement of Scalp Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR0XJ3,"Replacement of Scalp Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR0XJ4,"Replacement of Scalp Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR0XJZ,"Replacement of Scalp Skin with Synthetic Substitute, External Approach"
0HR0XK3,"Replacement of Scalp Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR0XK4,"Replacement of Scalp Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR1X72,"Replacement of Face Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR1X73,"Replacement of Face Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR1X74,"Replacement of Face Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR1XJ3,"Replacement of Face Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR1XJ4,"Replacement of Face Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR1XJZ,"Replacement of Face Skin with Synthetic Substitute, External Approach"
0HR1XK3,"Replacement of Face Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR1XK4,"Replacement of Face Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR2X72,"Replacement of Right Ear Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR2X73,"Replacement of Right Ear Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR2X74,"Replacement of Right Ear Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR2XJ3,"Replacement of Right Ear Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR2XJ4,"Replacement of Right Ear Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR2XJZ,"Replacement of Right Ear Skin with Synthetic Substitute, External Approach"
0HR2XK3,"Replacement of Right Ear Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR2XK4,"Replacement of Right Ear Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
