icd_code,long_title
0HR3X72,"Replacement of Left Ear Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR3X73,"Replacement of Left Ear Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR3X74,"Replacement of Left Ear Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR3XJ3,"Replacement of Left Ear Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR3XJ4,"Replacement of Left Ear Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR3XJZ,"Replacement of Left Ear Skin with Synthetic Substitute, External Approach"
0HR3XK3,"Replacement of Left Ear Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR3XK4,"Replacement of Left Ear Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR4X72,"Replacement of Neck Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR4X73,"Replacement of Neck Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR4X74,"Replacement of Neck Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR4XJ3,"Replacement of Neck Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR4XJ4,"Replacement of Neck Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR4XJZ,"Replacement of Neck Skin with Synthetic Substitute, External Approach"
0HR4XK3,"Replacement of Neck Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR4XK4,"Replacement of Neck Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR5X72,"Replacement of Chest Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR5X73,"Replacement of Chest Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR5X74,"Replacement of Chest Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR5XJ3,"Replacement of Chest Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR5XJ4,"Replacement of Chest Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR5XJZ,"Replacement of Chest Skin with Synthetic Substitute, External Approach"
0HR5XK3,"Replacement of Chest Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR5XK4,"Replacement of Chest Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR6X72,"Replacement of Back Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR6X73,"Replacement of Back Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR6X74,"Replacement of Back Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR6XJ3,"Replacement of Back Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR6XJ4,"Replacement of Back Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR6XJZ,"Replacement of Back Skin with Synthetic Substitute, External Approach"
0HR6XK3,"Replacement of Back Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR6XK4,"Replacement of Back Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR7X72,"Replacement of Abdomen Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR7X73,"Replacement of Abdomen Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR7X74,"Replacement of Abdomen Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR7XJ3,"Replacement of Abdomen Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR7XJ4,"Replacement of Abdomen Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR7XJZ,"Replacement of Abdomen Skin with Synthetic Substitute, External Approach"
0HR7XK3,"Replacement of Abdomen Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR7XK4,"Replacement of Abdomen Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR8X72,"Replacement of Buttock Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR8X73,"Replacement of Buttock Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR8X74,"Replacement of Buttock Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR8XJ3,"Replacement of Buttock Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR8XJ4,"Replacement of Buttock Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR8XJZ,"Replacement of Buttock Skin with Synthetic Substitute, External Approach"
0HR8XK3,"Replacement of Buttock Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR8XK4,"Replacement of Buttock Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HR9X72,"Replacement of Perineum Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HR9X73,"Replacement of Perineum Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HR9X74,"Replacement of Perineum Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HR9XJ3,"Replacement of Perineum Skin with Synthetic Substitute, Full Thickness, External Approach"
0HR9XJ4,"Replacement of Perineum Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HR9XJZ,"Replacement of Perineum Skin with Synthetic Substitute, External Approach"
0HR9XK3,"Replacement of Perineum Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HR9XK4,"Replacement of Perineum Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRAX72,"Replacement of Inguinal Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRAX73,"Replacement of Inguinal Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRAX74,"Replacement of Inguinal Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRAXJ3,"Replacement of Inguinal Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRAXJ4,"Replacement of Inguinal Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRAXJZ,"Replacement of Inguinal Skin with Synthetic Substitute, External Approach"
0HRAXK3,"Replacement of Inguinal Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRAXK4,"Replacement of Inguinal Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRBX72,"Replacement of Right Upper Arm Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRBX73,"Replacement of Right Upper Arm Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRBX74,"Replacement of Right Upper Arm Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRBXJ3,"Replacement of Right Upper Arm Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRBXJ4,"Replacement of Right Upper Arm Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRBXJZ,"Replacement of Right Upper Arm Skin with Synthetic Substitute, External Approach"
0HRBXK3,"Replacement of Right Upper Arm Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRBXK4,"Replacement of Right Upper Arm Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRCX72,"Replacement of Left Upper Arm Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRCX73,"Replacement of Left Upper Arm Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRCX74,"Replacement of Left Upper Arm Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRCXJ3,"Replacement of Left Upper Arm Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRCXJ4,"Replacement of Left Upper Arm Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRCXJZ,"Replacement of Left Upper Arm Skin with Synthetic Substitute, External Approach"
0HRCXK3,"Replacement of Left Upper Arm Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRCXK4,"Replacement of Left Upper Arm Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRDX72,"Replacement of Right Lower Arm Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRDX73,"Replacement of Right Lower Arm Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRDX74,"Replacement of Right Lower Arm Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRDXJ3,"Replacement of Right Lower Arm Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRDXJ4,"Replacement of Right Lower Arm Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRDXJZ,"Replacement of Right Lower Arm Skin with Synthetic Substitute, External Approach"
0HRDXK3,"Replacement of Right Lower Arm Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRDXK4,"Replacement of Right Lower Arm Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HREX72,"Replacement of Left Lower Arm Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HREX73,"Replacement of Left Lower Arm Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HREX74,"Replacement of Left Lower Arm Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HREXJ3,"Replacement of Left Lower Arm Skin with Synthetic Substitute, Full Thickness, External Approach"
0HREXJ4,"Replacement of Left Lower Arm Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HREXJZ,"Replacement of Left Lower Arm Skin with Synthetic Substitute, External Approach"
0HREXK3,"Replacement of Left Lower Arm Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HREXK4,"Replacement of Left Lower Arm Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRFX72,"Replacement of Right Hand Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRFX73,"Replacement of Right Hand Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRFX74,"Replacement of Right Hand Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRFXJ3,"Replacement of Right Hand Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRFXJ4,"Replacement of Right Hand Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRFXJZ,"Replacement of Right Hand Skin with Synthetic Substitute, External Approach"
0HRFXK3,"Replacement of Right Hand Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRFXK4,"Replacement of Right Hand Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRGX72,"Replacement of Left Hand Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRGX73,"Replacement of Left Hand Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRGX74,"Replacement of Left Hand Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRGXJ3,"Replacement of Left Hand Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRGXJ4,"Replacement of Left Hand Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRGXJZ,"Replacement of Left Hand Skin with Synthetic Substitute, External Approach"
0HRGXK3,"Replacement of Left Hand Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRGXK4,"Replacement of Left Hand Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRHX72,"Replacement of Right Upper Leg Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRHX73,"Replacement of Right Upper Leg Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRHX74,"Replacement of Right Upper Leg Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRHXJ3,"Replacement of Right Upper Leg Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRHXJ4,"Replacement of Right Upper Leg Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRHXJZ,"Replacement of Right Upper Leg Skin with Synthetic Substitute, External Approach"
0HRHXK3,"Replacement of Right Upper Leg Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRHXK4,"Replacement of Right Upper Leg Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRJX72,"Replacement of Left Upper Leg Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRJX73,"Replacement of Left Upper Leg Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRJX74,"Replacement of Left Upper Leg Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRJXJ3,"Replacement of Left Upper Leg Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRJXJ4,"Replacement of Left Upper Leg Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRJXJZ,"Replacement of Left Upper Leg Skin with Synthetic Substitute, External Approach"
0HRJXK3,"Replacement of Left Upper Leg Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRJXK4,"Replacement of Left Upper Leg Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRKX72,"Replacement of Right Lower Leg Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRKX73,"Replacement of Right Lower Leg Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRKX74,"Replacement of Right Lower Leg Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRKXJ3,"Replacement of Right Lower Leg Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRKXJ4,"Replacement of Right Lower Leg Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRKXJZ,"Replacement of Right Lower Leg Skin with Synthetic Substitute, External Approach"
0HRKXK3,"Replacement of Right Lower Leg Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRKXK4,"Replacement of Right Lower Leg Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRLX72,"Replacement of Left Lower Leg Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRLX73,"Replacement of Left Lower Leg Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRLX74,"Replacement of Left Lower Leg Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRLXJ3,"Replacement of Left Lower Leg Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRLXJ4,"Replacement of Left Lower Leg Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRLXJZ,"Replacement of Left Lower Leg Skin with Synthetic Substitute, External Approach"
0HRLXK3,"Replacement of Left Lower Leg Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRLXK4,"Replacement of Left Lower Leg Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRMX72,"Replacement of Right Foot Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRMX73,"Replacement of Right Foot Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRMX74,"Replacement of Right Foot Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRMXJ3,"Replacement of Right Foot Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRMXJ4,"Replacement of Right Foot Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRMXJZ,"Replacement of Right Foot Skin with Synthetic Substitute, External Approach"
0HRMXK3,"Replacement of Right Foot Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRMXK4,"Replacement of Right Foot Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HRNX72,"Replacement of Left Foot Skin with Autologous Tissue Substitute, Cell Suspension Technique, External Approach"
0HRNX73,"Replacement of Left Foot Skin with Autologous Tissue Substitute, Full Thickness, External Approach"
0HRNX74,"Replacement of Left Foot Skin with Autologous Tissue Substitute, Partial Thickness, External Approach"
0HRNXJ3,"Replacement of Left Foot Skin with Synthetic Substitute, Full Thickness, External Approach"
0HRNXJ4,"Replacement of Left Foot Skin with Synthetic Substitute, Partial Thickness, External Approach"
0HRNXJZ,"Replacement of Left Foot Skin with Synthetic Substitute, External Approach"
0HRNXK3,"Replacement of Left Foot Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach"
0HRNXK4,"Replacement of Left Foot Skin with Nonautologous Tissue Substitute, Partial Thickness, External Approach"
0HS,"Skin and Breast, Reposition"
0HT,"Skin and Breast, Resection"
0HU,"Skin and Breast, Supplement"
0HW,"Skin and Breast, Revision"
0HWPX0Z,"Revision of Drainage Device in Skin, External Approach"
0HWPX7Z,"Revision of Autologous Tissue Substitute in Skin, External Approach"
0HWPXJZ,"Revision of Synthetic Substitute in Skin, External Approach"
0HWPXKZ,"Revision of Nonautologous Tissue Substitute in Skin, External Approach"
0HWPXYZ,"Revision of Other Device in Skin, External Approach"
0HX,"Skin and Breast, Transfer"
0HX0XZZ,"Transfer Scalp Skin, External Approach"
0HX1XZZ,"Transfer Face Skin, External Approach"
0HX2XZZ,"Transfer Right Ear Skin, External Approach"
0HX3XZZ,"Transfer Left Ear Skin, External Approach"
0HX4XZZ,"Transfer Neck Skin, External Approach"
0HX5XZZ,"Transfer Chest Skin, External Approach"
0HX6XZZ,"Transfer Back Skin, External Approach"
0HX7XZZ,"Transfer Abdomen Skin, External Approach"
0HX8XZZ,"Transfer Buttock Skin, External Approach"
0HX9XZZ,"Transfer Perineum Skin, External Approach"
0HXAXZZ,"Transfer Inguinal Skin, External Approach"
0HXBXZZ,"Transfer Right Upper Arm Skin, External Approach"
0HXCXZZ,"Transfer Left Upper Arm Skin, External Approach"
0HXDXZZ,"Transfer Right Lower Arm Skin, External Approach"
0HXEXZZ,"Transfer Left Lower Arm Skin, External Approach"
0HXFXZZ,"Transfer Right Hand Skin, External Approach"
0HXGXZZ,"Transfer Left Hand Skin, External Approach"
0HXHXZZ,"Transfer Right Upper Leg Skin, External Approach"
0HXJXZZ,"Transfer Left Upper Leg Skin, External Approach"
0HXKXZZ,"Transfer Right Lower Leg Skin, External Approach"
0HXLXZZ,"Transfer Left Lower Leg Skin, External Approach"
0HXMXZZ,"Transfer Right Foot Skin, External Approach"
0HXNXZZ,"Transfer Left Foot Skin, External Approach"
0JX00ZB,"Transfer Scalp Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
0JX00ZC,"Transfer Scalp Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Open Approach"
0JX03ZB,"Transfer Scalp Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach"
0JX03ZC,"Transfer Scalp Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Percutaneous Approach"
0JX10ZB,"Transfer Face Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
0JX10ZC,"Transfer Face Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Open Approach"
0JX13ZB,"Transfer Face Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach"
0JX13ZC,"Transfer Face Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Percutaneous Approach"
0JX40ZB,"Transfer Right Neck Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
0JX40ZC,"Transfer Right Neck Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Open Approach"
0JX43ZB,"Transfer Right Neck Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach"
0JX43ZC,"Transfer Right Neck Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Percutaneous Approach"
0JX50ZB,"Transfer Left Neck Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
0JX50ZC,"Transfer Left Neck Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Open Approach"
0JX53ZB,"Transfer Left Neck Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach"
0JX53ZC,"Transfer Left Neck Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Percutaneous Approach"
0JX60ZB,"Transfer Chest Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
0JX60ZC,"Transfer Chest Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Open Approach"
0JX63ZB,"Transfer Chest Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach"
0JX63ZC,"Transfer Chest Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Percutaneous Approach"
0JX70ZB,"Transfer Back Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
0JX70ZC,"Transfer Back Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Open Approach"
0JX73ZB,"Transfer Back Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach"
0JX73ZC,"Transfer Back Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Percutaneous Approach"
0JX80ZB,"Transfer Abdomen Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Open Approach"
0JX80ZC,"Transfer Abdomen Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Open Approach"
0JX83ZB,"Transfer Abdomen Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach"
0JX83ZC,"Transfer Abdomen Subcutaneous Tissue and Fascia with Skin, Subcutaneous Tissue and Fascia, Percutaneous Approach"
